,organization,organizationId,issueId,totNbrOfComments,nbrOfComments
303,alibaba,121.0,27345.0,11.0,1.0
304,alibaba,121.0,27681.0,25.0,1.0
305,altiscale,1.0,19.0,134.0,1.0
306,altiscale,1.0,154.0,1.0,1.0
307,altiscale,1.0,341.0,4.0,1.0
308,altiscale,1.0,399.0,15.0,1.0
309,altiscale,1.0,486.0,1.0,1.0
310,altiscale,1.0,733.0,72.0,1.0
311,altiscale,1.0,911.0,5.0,1.0
312,altiscale,1.0,1161.0,201.0,3.0
313,altiscale,1.0,1285.0,1.0,1.0
314,altiscale,1.0,1302.0,11.0,1.0
315,altiscale,1.0,1360.0,10.0,1.0
316,altiscale,1.0,1442.0,24.0,1.0
317,altiscale,1.0,1452.0,8.0,2.0
318,altiscale,1.0,1453.0,4.0,1.0
319,altiscale,1.0,1501.0,3.0,1.0
320,altiscale,1.0,1509.0,11.0,1.0
321,altiscale,1.0,1521.0,1.0,1.0
322,altiscale,1.0,1536.0,85.0,7.0
323,altiscale,1.0,1578.0,46.0,4.0
324,altiscale,1.0,1625.0,1.0,1.0
325,altiscale,1.0,1636.0,71.0,1.0
326,altiscale,1.0,1640.0,10.0,1.0
327,altiscale,1.0,1680.0,1.0,1.0
328,altiscale,1.0,1712.0,8.0,1.0
329,altiscale,1.0,1745.0,14.0,1.0
330,altiscale,1.0,1759.0,22.0,1.0
331,altiscale,1.0,1772.0,15.0,2.0
332,altiscale,1.0,1784.0,3.0,1.0
333,altiscale,1.0,1796.0,16.0,1.0
334,altiscale,1.0,1871.0,1.0,1.0
335,altiscale,1.0,1881.0,21.0,2.0
336,altiscale,1.0,1910.0,21.0,2.0
337,altiscale,1.0,1913.0,16.0,1.0
338,altiscale,1.0,1914.0,2.0,1.0
339,altiscale,1.0,1941.0,22.0,1.0
340,altiscale,1.0,1966.0,4.0,1.0
341,altiscale,1.0,1975.0,3.0,1.0
342,altiscale,1.0,1978.0,8.0,2.0
343,altiscale,1.0,2007.0,10.0,1.0
344,altiscale,1.0,2022.0,37.0,3.0
345,altiscale,1.0,2048.0,9.0,1.0
346,altiscale,1.0,2062.0,2.0,1.0
347,altiscale,1.0,2073.0,2.0,1.0
348,altiscale,1.0,2077.0,2.0,1.0
349,altiscale,1.0,2098.0,1.0,1.0
350,altiscale,1.0,2110.0,2.0,1.0
351,altiscale,1.0,2113.0,19.0,2.0
